10000 99910
12 6555 18010
12 7082 66890
12 7107 69210
12 7812 18040
12 8267 72570
12 8731 97700
12 8894 36770
12 9438 71000
13 14 50790
13 538 55220
13 1438 22530
13 1702 8440
13 1745 77690
13 3201 99960
13 3830 26920
13 3926 12270
13 4478 62220
13 5628 73760
13 6209 86350
13 6583 68280
13 6718 6240
13 7297 47010
13 7784 26570
13 8229 50670
13 8982 35960
13 9255 56220
14 15 65850
14 1056 21500
14 1073 25310
14 1240 85190
14 1443 50160
14 1462 17050
14 1720 1720
14 2132 1590
14 2442 21540
14 3123 98520
14 3396 750
14 3473 46580
14 3500 64640
14 3695 6740
14 4518 17560
14 4591 16130
14 5657 22820
14 6194 14630
14 6328 75610
14 6635 41790
14 6651 31120
14 6655 9180
14 7203 48790
14 7365 55150
14 7590 36630
14 8667 75420
14 9408 14540
14 9596 43850
14 9616 43710
15 16 77270
15 382 53540
15 410 82690
15 617 4730
15 673 64540
15 698 11770
15 896 36410
15 954 25730
15 993 12350
15 1135 22310
15 1289 50960
15 1954 91160
15 2631 40900
15 3280 83050
15 3580 88610
15 3949 31730
15 4269 19390
15 4449 42010
15 5787 34690
15 5893 97170
15 6571 85630
15 6968 69340
15 7426 85520
15 8906 86390
15 9549 73750
15 9586 52460
16 17 22780
16 213 15390
16 267 79430
16 342 36550
16 754 99250
16 1156 72070
16 2079 16920
16 2205 60440
16 2488 16270
16 3339 2140
16 3386 55070
16 4653 82650
16 5072 16860
16 5334 82440
16 6340 98910
16 7792 16310
16 7834 96770
16 7964 4020
16 8288 46970
16 8878 91660
16 9298 86170
16 9491 65400
17 18 94150
17 211 60710
17 624 78080
17 1166 40680
17 1563 86270
17 1566 44570
17 1759 31330
17 2401 45220
17 2534 34620
17 2658 96860
17 3518 44910
17 3662 59310
17 4341 76530
17 4931 90250
17 6079 52670
17 6179 61850
17 6656 87160
17 6868 72870
17 7091 33190
17 7616 75540
17 8153 17810
17 8924 64380
17 9234 49220
17 9487 25230
18 19 38390
18 112 10280
18 1313 8640
18 1593 71040
18 1647 46080
18 2488 73080
18 2511 55090
18 2696 30150
18 4358 92120
18 4497 6440
18 4551 6930
18 5065 20820
18 5627 35910
18 5882 49480
18 5997 56610
18 6488 33530
18 6569 78440
18 7840 32540
18 8801 12810
19 20 79390
19 185 50320
19 894 55150
19 1823 53600
19 2105 24530
19 2217 170
19 2411 73880
19 2712 2820
19 2838 45380
19 2891 9060
19 3318 79580
19 3522 7030
19 4464 31360
19 4533 87720
19 4712 93680
19 4911 24960
19 5406 43870
19 5438 52440
19 5741 76550
19 6251 58300
19 6281 1280
19 6532 79490
19 8386 62760
19 8484 26470
19 8659 10120
19 9282 31670
19 9783 53790
19 9877 5760
20 21 16290
20 364 90
20 754 28750
20 1590 61070
20 2423 12350
20 2433 80030
20 2975 57260
20 3038 40840
20 3811 17890
20 4304 73550
20 4333 89230
20 4445 35270
20 5007 74770
20 5234 12690
20 7982 2120
20 8126 71790
20 8223 34590
20 8403 19020
20 9202 66010
21 22 92160
21 1085 43420
21 1100 58990
21 1210 6240
21 1997 27110
21 2018 19050
21 2157 74940
21 2475 65670
21 3461 53200
21 3729 47360
21 3732 94150
21 3943 73080
21 4375 16020
21 4846 39490
21 5010 28340
21 5293 86460
21 6310 5060
21 7908 44080
21 7941 97670
21 8611 67110
21 9000 57230
21 9210 36950
22 23 6150
22 212 2000
22 242 22200
22 548 19740
22 853 58920
22 1067 96800
22 1282 95110
22 1516 79470
22 1618 91460
22 2154 5860
22 2237 41610
22 2358 7650
22 2982 29680
22 3467 23500
22 3611 49620
22 3615 13050
22 3958 16250
22 4160 25460
22 5036 64930
22 5143 92820
22 5266 76120
22 5829 14040
22 6164 65960
22 6180 67440
22 6395 81460
22 6555 64320
22 7042 22150
22 7699 30930
22 7845 85160
22 7936 35850
22 8245 87250
22 8674 36610
22 8910 4920
23 24 84980
23 251 43450
23 508 67370
23 1372 17310
23 1592 93560
23 1909 68400
23 2219 54800
23 2462 36940
23 2495 86350
23 4122 25120
23 4277 62320
23 5023 88010
23 5180 43900
23 5567 35210
23 5990 98570
23 6290 43310
23 6459 26880
23 6843 4200
23 6984 51750
23 7550 70220
23 8442 3110
23 8829 38470
23 9260 96410
23 9284 99040
24 25 99660
24 555 43610
24 637 58400
24 656 78870
24 713 19760
24 720 9450
24 1081 35210
24 1218 73400
24 1927 91080
24 1968 43580
24 2714 27570
24 3146 9900
24 3368 10320
24 3369 9640
24 3524 10770
24 3678 87620
24 3723 34450
24 4659 66770
24 5754 76960
24 6149 24600
24 6890 6410
24 7660 84600
24 8194 79170
24 8362 97560
24 8978 82570
24 9086 240
24 9098 28790
24 9422 95180
24 9780 72750
25 26 6800
25 95 45120
25 165 9520
25 256 29840
25 393 92470
25 930 58220
25 1851 30690
25 2036 13780
25 2179 11180
25 3462 7970
25 3648 81970
25 4102 69950
25 4200 85870
25 4585 68000
25 4650 25830
25 4857 7240
25 4967 81070
25 5448 74690
25 5939 61400
25 5958 33520
25 6294 12670
25 7112 54320
25 7251 28300
25 7588 41800
25 7596 21700
25 8439 23520
25 8478 63170
25 8678 970
25 8754 7170
25 8807 2150
25 8948 3860
25 9003 84760
25 9371 41710
25 9976 16400
26 27 96760
26 290 6720
26 431 91550
26 805 66400
26 2086 25510
26 2574 62130
26 4691 80440
26 5679 25970
26 5843 9860
26 5911 98750
26 6024 85510
26 6091 17860
26 6814 86780
26 6943 19520
26 7251 47650
26 7323 51700
26 7412 69250
26 7559 99560
26 7626 13750
26 9926 7550
26 9948 50840
27 28 27380
27 402 93360
27 594 23740
27 820 34030
27 945 88280
27 2031 62110
27 2714 41670
27 3286 75720
27 3516 89670
27 3629 31420
27 3901 29890
27 3961 95690
27 5228 25810
27 5447 19280
27 6373 2460
27 6462 68860
27 7125 90690
27 7347 59800
27 7696 1330
27 8103 52810
27 8153 56270
27 8618 95020
27 8709 5930
27 9350 41630
27 9411 60790
27 9547 27500
28 29 16950
28 225 23380
28 917 23160
28 928 39590
28 946 36980
28 1199 97950
28 1455 34110
28 1585 52870
28 2138 59060
28 2748 79850
28 2939 19750
28 2946 97470
28 3102 24820
28 3691 66690
28 5005 29830
28 5338 39060
28 6011 42370
28 7071 49160
28 7565 88040
28 7660 12360
28 8025 78430
28 8028 94550
28 8346 63880
28 9047 30100
28 9311 25810
28 9573 24730
29 30 9740
29 1042 57920
29 1075 78060
29 1424 48260
29 1738 92370
29 1943 72460
29 2444 85150
29 2488 87980
29 2930 33950
29 3769 70960
29 3918 4750
29 4063 79170
29 4108 94010
29 4142 1440
29 4257 74960
29 4286 60100
29 4915 44830
29 5739 28480
29 5785 37170
29 5891 21920
29 6749 85670
29 6754 14090
29 7234 59830
29 8133 70880
29 8345 55910
29 8744 64730
29 9016 3970
29 9114 24200
29 9894 26190
30 31 57820
30 74 71240
30 293 92730
30 887 15980
30 908 54750
30 1354 25180
30 1439 95530
30 1514 6900
30 1969 5800
30 1985 46350
30 2636 13270
30 3895 11830
30 4097 26100
30 5134 74880
30 5497 40190
30 5623 67870
30 5640 75280
30 8093 81200
30 8323 19760
30 8586 52950
30 9026 9780
30 9094 93590
30 9413 90310
30 9790 84880
31 32 39510
31 86 5760
31 827 5950
31 1320 16940
31 1457 74680
31 1996 20540
31 2096 58230
31 2121 11290
31 3361 40260
31 3635 9420
31 3967 27510
31 4185 20720
31 4365 31840
31 4569 88590
31 5127 26540
31 5262 66900
31 5266 46090
31 5645 83160
31 5732 84440
31 6279 80290
31 7123 5500
31 7661 22710
31 7837 10120
31 8388 73230
31 9364 48130
31 9431 22700
31 9684 4060
32 33 35540
32 109 14810
32 225 18740
32 359 14990
32 876 4750
32 1121 59400
32 2173 4900
32 2183 58610
32 4742 22380
32 5361 4970
32 5515 1400
32 6172 56480
32 6798 64830
32 7786 66780
32 8360 7590
32 8460 24870
32 8461 89080
32 8561 45590
32 9869 19620
33 34 86610
33 573 60850
33 576 46640
33 690 81870
33 808 25630
33 1155 91100
33 1528 14840
33 1674 98780
33 1778 56990
33 2028 80270
33 2446 74620
33 3128 16600
33 3308 36410
33 3722 48280
33 4081 15110
33 4326 3970
33 4490 59210
33 5403 5230
33 5872 87200
33 6311 14110
33 6879 67780
33 6921 69270
33 7054 66170
33 7417 7860
33 8184 68530
33 8841 48080
33 9312 56300
33 9695 32720
34 35 91660
34 457 33130
34 906 42490
34 1009 68760
34 1685 80750
34 1687 26300
34 2615 28510
34 3376 77310
34 3387 19080
34 3844 37400
34 4443 79300
34 4474 3740
34 4955 18240
34 5213 74760
34 5361 52140
34 5610 79630
34 6087 69810
34 6799 49220
34 6980 35430
34 7037 66440
34 7156 54240
34 7554 34830
34 7715 41550
34 8055 31680
34 8684 70990
34 9057 39330
34 9768 40460
34 9884 60350
34 9903 6330
35 36 83200
35 524 13120
35 1451 17360
35 2766 42060
35 2831 26070
35 4130 38070
35 4752 21040
35 4839 14510
35 6347 61660
35 7256 18620
35 7632 47290
35 7825 12100
35 7832 84300
35 7926 22680
35 8850 56980
36 37 75930
36 629 21320
36 809 55460
36 1205 46170
36 2061 59120
36 2328 52270
36 2364 30500
36 2607 52650
36 3874 67500
36 3915 81100
36 5443 17810
36 5707 72800
36 6098 23950
36 6148 29330
36 6220 19610
36 6254 94530
36 6305 6000
36 6716 66140
36 6799 56860
36 7070 16960
36 7608 33940
36 8391 17570
36 9133 30590
36 9518 25290
37 38 65270
37 148 64690
37 371 24720
37 557 93180
37 1654 40770
37 2590 61000
37 3135 13130
37 3881 85000
37 4152 27140
37 4156 79950
37 4491 35930
37 5508 44810
37 6084 72460
37 6587 26320
37 6589 3880
37 7557 87610
37 7693 96010
37 8766 34990
37 9751 53640
38 39 62910
38 65 56700
38 131 53160
38 183 11530
38 882 30290
38 1341 82510
38 1510 79920
38 1771 76820
38 1918 24020
38 2160 25220
38 2239 24340
38 2380 13990
38 3106 88510
38 3650 10450
38 3888 41540
38 3946 98180
38 4819 74090
38 5584 51330
38 5878 76740
38 6211 9340
38 7056 73720
38 7202 51920
38 7325 8170
38 8301 78980
38 8480 90580
38 9257 93960
38 9578 39460
39 40 57250
39 198 50010
39 580 83660
39 848 34680
39 1487 37730
39 1682 79410
39 1918 50420
39 2314 41190
39 2668 37930
39 2732 9170
39 2818 92420
39 2939 14650
39 3362 49510
39 3392 34600
39 3456 23320
39 3727 90430
39 3802 94300
39 5386 24130
39 5716 70410
39 5916 49750
39 5943 63400
39 6742 73200
39 7080 14470
39 7182 62800
39 8037 16450
39 8286 21890
39 9359 92110
40 41 72180
40 144 1530
40 1569 72550
40 2128 21480
40 2197 62590
40 2219 68950
40 3315 90160
40 3842 65730
40 3903 44820
40 4057 12550
40 4059 26810
40 4848 74880
40 4869 43830
40 5404 52840
40 7285 77170
40 8320 12620
40 8978 49310
41 42 47150
41 74 32370
41 240 54120
41 631 18910
41 911 84410
41 959 41820
41 1076 93820
41 1702 62390
41 1799 94900
41 2424 87890
41 2611 96400
41 2881 87170
41 3149 24200
41 3886 97720
41 4250 83440
41 4352 25530
41 6738 67570
41 7599 67270
41 7961 39040
41 7999 5140
41 8352 87620
41 8647 780
41 9303 20390
42 43 61430
42 2168 99210
42 2364 32940
42 2609 9160
42 4290 29290
42 4754 58400
42 4856 52150
42 5245 13620
42 5586 32160
42 5842 6400
42 6760 24180
42 7051 18520
42 7357 37470
42 7648 59240
42 8471 69710
43 44 99330
43 1032 40010
43 1188 34840
43 1196 51610
43 1663 71140
43 2055 22290
43 2234 14990
43 2315 60470
43 2742 140
43 3420 26630
43 3643 54340
43 3714 21970
43 4150 24760
43 4626 94520
43 5566 54250
43 6086 58830
43 6096 28630
43 6465 410
43 6472 73210
43 7031 84030
43 7132 54090
43 7389 51330
43 7968 83050
43 8516 64370
43 8582 24940
43 8688 19500
43 8703 55790
43 8724 33550
43 8901 3790
43 9413 58310
44 45 16550
44 78 81080
44 97 29440
44 196 87350
44 558 6960
44 609 66200
44 680 65030
44 737 40930
44 1342 75910
44 1413 91750
44 1717 39930
44 4065 68720
44 5201 16670
44 5391 330
44 6019 43960
44 6169 93740
44 6445 10470
44 6496 39490
44 7047 24150
44 7904 40690
44 8030 42720
44 8525 28240
44 9193 59980
44 9276 11370
44 9439 24690
44 9467 24410
44 9500 54940
44 9649 81570
44 9706 12140
45 46 39840
45 793 66400
45 1066 84790
45 1374 56130
45 2301 67430
45 2433 6150
45 2631 40870
45 3009 5380
45 3619 60530
45 3965 39840
45 5446 26870
45 5579 72520
45 5849 65480
45 7083 37480
45 7189 64630
45 8113 24550
45 8561 78800
45 9352 51980
45 9686 34220
46 47 56810
46 870 97750
46 903 99650
46 1361 90290
46 2613 80230
46 2817 55810
46 3216 76520
46 3383 97320
46 4885 13100
46 5192 1540
46 6215 90730
46 6268 15880
46 6611 88960
46 7571 69090
46 7975 49260
46 8340 21770
46 8793 66200
46 8956 87810
46 9694 6410
47 48 35870
47 668 92280
47 1154 27170
47 1430 53910
47 1819 4720
47 1873 56140
47 1903 88920
47 2159 7320
47 2565 37460
47 3193 19430
47 4302 20680
47 4568 68600
47 5308 13990
47 5577 39440
47 5827 94890
47 6478 3980
47 6483 57270
47 6653 65850
47 7665 88690
47 7931 84160
47 8904 68530
47 9003 70270
47 9252 83450
47 9938 64360
48 49 86150
48 133 32690
48 1872 74010
48 1961 43940
48 2386 18870
48 2873 67350
48 4465 5140
48 5032 64040
48 5189 85890
48 5324 92970
48 5756 36650
48 5903 92450
48 6039 39020
48 6741 95240
48 7046 70360
48 7352 3960
48 7671 80210
48 7933 21150
48 8034 19720
48 8765 78130
48 8798 49130
48 8973 600
48 9220 82470
49 50 10610
49 60 51160
49 1646 40080
49 1829 26130
49 1949 62830
49 2000 62710
49 2115 9980
49 2487 22570
49 2868 19430
49 4588 30150
49 4637 51780
49 5113 7290
49 6077 68210
49 7189 68660
49 7241 97220
49 7316 13140
49 7561 16240
49 7691 17240
49 9281 71920
49 9753 84450
49 9763 23460
50 51 18920
50 431 64630
50 465 78610
50 677 12890
50 685 66660
50 1312 10540
50 3245 29160
50 3315 99250
50 3821 22120
50 4312 90190
50 4465 34540
50 4810 4240
50 6000 490
50 6559 90790
50 7697 61620
50 8058 19910
50 8791 33470
51 52 27080
51 425 16490
51 683 65680
51 774 49080
51 1728 29970
51 1759 84600
51 2615 54380
51 2621 78230
51 2682 52640
51 3398 99890
51 4049 8770
51 4893 63910
51 5421 8980
51 5960 95160
51 6179 47110
51 6212 19360
51 6283 88640
51 6917 14120
51 7271 30040
51 7455 35240
51 7879 62490
51 8019 39410
51 8092 46790
51 8340 96460
51 8343 81320
51 8739 40390
51 8970 93610
51 9887 25780
52 53 7490
52 722 69740
52 1144 94520
52 1320 82900
52 1348 2210
52 1579 50920
52 2250 1290
52 2317 39030
52 2432 75520
52 5578 82990
52 5859 25610
52 5887 58920
52 6141 82510
52 6185 11760
52 6465 78160
52 7189 27040
52 7420 6840
52 8723 1750
52 8972 92160
52 9140 62680
52 9189 36540
52 9634 41270
52 9790 87720
53 54 65160
53 583 13420
53 590 81520
53 2124 63550
53 2446 2060
53 2921 9090
53 2926 93450
53 3026 92060
53 3067 18790
53 4746 36380
53 4892 39190
53 5430 75640
53 6022 59110
53 6634 90750
53 6879 68510
53 7324 55970
53 7703 26740
53 8191 4720
53 8379 72740
53 8404 95650
53 8854 94980
53 9374 2870
54 55 18700
54 240 32940
54 505 73010
54 640 46970
54 1254 95430
54 1281 49380
54 1364 49690
54 1484 10310
54 1660 5520
54 1919 42760
54 2324 59590
54 3268 65020
54 3715 50110
54 3734 25210
54 3965 12650
54 4015 68680
54 4218 48330
54 4946 13280
54 5353 13640
54 5393 54310
54 5561 17880
54 5962 76290
54 6142 37640
54 6259 98380
54 6987 45560
54 7427 350
54 7815 11930
54 9774 18650
55 56 76150
55 265 69630
55 477 47080
55 1239 34790
55 1518 16790
55 1698 8000
55 1993 9430
55 2078 19720
55 2099 60870
55 2129 19820
55 2451 6360
55 2894 43150
55 3048 81350
55 4089 86860
55 4300 22380
55 4359 7110
55 5203 73680
55 5306 31540
55 5503 64910
55 5956 97110
55 6350 2520
55 6426 3070
55 7546 25470
55 8058 79600
55 8074 43550
55 8088 99790
55 8380 56190
55 8987 59560
55 9681 31340
56 57 75530
56 139 17090
56 850 57380
56 1240 25910
56 1373 3730
56 1496 70230
56 1663 4110
56 2754 42940
56 3148 68010
56 4364 19610
56 5911 29750
56 6216 74400
56 6361 23580
56 6612 86930
56 7081 35450
56 7341 24260
56 8065 2610
56 8076 83920
56 8341 14530
56 8782 15430
56 8986 2550
56 9450 28330
57 58 51790
57 1052 73800
57 1228 68120
57 1231 4100
57 1694 67730
57 1735 61690
57 1957 30650
57 2255 63330
57 2729 25600
57 2842 69670
57 3209 16080
57 4515 17580
57 5632 16470
57 6354 97110
57 6419 33480
57 7021 89200
57 9231 76600
57 9364 84310
57 9387 53070
58 59 51010
58 94 14860
58 161 24710
58 519 1240
58 1034 26850
58 1349 69150
58 1357 18000
58 1513 52340
58 1736 1690
58 1891 31750
58 1923 20730
58 1939 92700
58 2046 6160
58 2429 73630
58 2871 24300
58 3846 39380
58 6464 84670
58 6572 70270
58 6593 20870
58 8177 98520
58 8380 11890
58 9693 8010
59 60 4980
59 703 16370
59 909 39000
59 1787 37570
59 1845 94210
59 1939 99180
59 2239 64680
59 2277 52710
59 2810 96840
59 3081 20840
59 3258 4840
59 3755 44150
59 4186 22190
59 4487 47280
59 4768 92160
59 5889 7510
59 6933 78510
59 6988 2410
59 8350 33470
59 8860 15390
59 8983 24840
60 61 24080
60 353 87470
60 587 8410
60 1155 71820
60 1468 80800
60 1532 36030
60 1763 5660
60 3239 29730
60 3670 27410
60 3889 90170
60 5192 50240
60 5226 83440
60 5768 400
60 6121 17500
60 6741 3750
60 8983 64580
60 8999 84850
61 62 26600
61 180 6630
61 403 97550
61 687 2320
61 704 95000
61 842 7550
61 923 97480
61 1032 96240
61 1089 4720
61 1256 98830
61 1591 3670
61 1852 41560
61 2222 740
61 2259 25970
61 2454 26220
61 2656 76770
61 2734 82030
61 2810 21250
61 3566 10380
61 4494 1910
61 4781 26960
61 5021 75450
61 5129 64730
61 5229 24660
61 5469 94740
61 6222 54130
61 7697 27250
61 7741 33630
61 7757 80890
61 7829 27470
61 7909 51250
61 8983 10230
61 9130 63670
61 9708 29180
62 63 4360
62 170 74470
62 739 92260
62 1475 78630
62 1476 19540
62 1750 24210
62 1896 50470
62 2530 13550
62 3513 15780
62 3520 27280
62 3814 63110
62 4307 90800
62 4329 91200
62 4639 22090
62 4849 97920
62 4984 12610
62 5929 98500
62 6420 45270
62 6539 31300
62 7243 63020
62 7594 3570
62 8023 56860
62 8123 22620
62 8482 18580
62 9642 22650
63 64 45220
63 345 98130
63 1066 96600
63 1262 1150
63 1999 7340
63 2066 14780
63 2209 75410
63 2219 91380
63 3094 50280
63 4167 16960
63 4244 66480
63 4731 73770
63 5536 15030
63 5756 36720
63 5758 36040
63 5809 58370
63 6019 3290
63 6288 4820
63 7219 81890
63 7753 44720
63 8430 64500
63 8934 71890
64 65 81610
64 260 55830
64 453 10780
64 772 78220
64 1259 99970
64 1293 52420
64 1653 31100
64 3060 22460
64 4018 14660
64 4862 93000
64 5148 32400
64 5846 75120
64 6077 64860
64 6152 77750
64 6809 24610
64 7142 67330
64 7434 3720
64 7605 46190
64 7703 15280
64 8652 44160
64 8824 79750
64 9417 81260
64 9909 52840
64 9935 6200
65 66 32160
65 507 3340
65 590 78430
65 693 99510
65 887 70400
65 1321 11500
65 1479 85130
65 1577 19570
65 1984 560
65 2706 17540
65 3380 26510
65 3592 55550
65 3693 18220
65 4288 18590
65 6146 10060
65 6250 21860
65 6573 87860
65 7885 65830
65 8001 89040
65 9059 2790
65 9586 39410
65 9722 65130
65 9891 34510
66 67 3620
66 1092 95220
66 1356 70950
66 2605 67450
66 2654 16370
66 3637 11670
66 3857 30290
66 5144 84470
66 6155 97100
66 6469 32320
66 7513 20690
66 7978 14780
66 8435 50670
66 8568 37420
66 8732 60080
66 8740 11110
66 8806 91420
66 8845 49170
66 9171 85580
66 9196 61310
67 68 13420
67 223 77600
67 377 46360
67 520 1060
67 1091 75820
67 1110 55770
67 1646 380
67 1669 12820
67 1990 80880
67 2716 35810
67 2778 17650
67 2841 45070
67 3028 76370
67 3243 19460
67 4808 40050
67 5397 39110
67 5902 37170
67 6002 12050
67 6152 89310
67 6964 11590
67 7061 65960
67 8281 2200
67 9418 1650
67 9488 80730
67 9666 92830
68 69 31580
68 326 48250
68 565 11700
68 754 37520
68 963 69600
68 1072 59840
68 1127 22550
68 1439 5350
68 1599 48270
68 1786 16330
68 1919 91440
68 1950 5310
68 2079 20990
68 2229 91670
68 2741 44190
68 2842 54950
68 3392 10350
68 3393 4840
68 4183 20730
68 4214 36840
68 4370 20250
68 6365 95520
68 6930 97510
68 7080 82310
68 7784 27510
68 8143 1080
68 8516 63130
68 8816 22240
68 9973 24710
69 70 40120
69 681 59300
69 731 11110
69 1529 25010
69 1574 70640
69 2771 59420
69 2809 83540
69 4738 67600
69 5276 86400
69 5389 54610
69 6223 64800
69 7352 2950
69 7777 79750
69 8187 78930
69 8191 8800
69 8755 29190
69 8828 31480
69 9173 59060
69 9452 43190
69 9545 84020
70 71 40390
70 519 7970
70 735 75770
70 1068 37560
70 1675 5500
70 1678 36780
70 2330 47450
70 3631 62500
70 4921 62970
70 4961 45830
70 6034 51370
70 6224 88460
70 7669 12660
70 8169 73180
70 8522 10230
70 9021 53470
71 72 34770
71 221 55100
71 757 44300
71 1363 41740
71 1410 5850
71 1487 47860
71 2091 86810
71 2192 500
71 2532 73420
71 2784 63950
71 3758 75050
71 3954 1830
71 4323 63780
71 5926 44970
71 6234 97980
71 6354 64750
71 6376 36110
71 7996 78890
71 8365 93350
71 8616 10680
71 9041 5420
71 9258 76730
71 9476 15950
71 9915 24790
72 73 98150
72 91 99710
72 159 69100
72 189 46270
72 1057 54140
72 1131 68280
72 1370 13300
72 1425 17170
72 2430 7020
72 3023 62310
72 3051 59870
72 3169 76580
72 3215 51690
72 3781 65760
72 3868 97560
72 3885 35660
72 4190 84890
72 5197 77810
72 5669 83510
72 5938 16000
72 7346 12650
72 7347 21170
72 7820 25080
72 8198 17690
72 8281 21380
72 8648 98190
72 9663 17030
72 9960 22260
73 74 90860
73 137 70240
73 1069 51280
73 1601 40310
73 1791 22140
73 2141 56550
73 2319 54750
73 2376 26420
73 2433 31510
73 2516 2370
73 3031 49190
73 3370 32720
73 4357 72880
73 6038 10730
73 6727 67940
73 7161 91640
73 7353 24700
73 7819 11540
73 9329 6060
73 9750 91070
74 75 4770
74 133 2750
74 481 23440
74 942 59790
74 1128 31650
74 1951 35360
74 2048 63360
74 2308 29540
74 2455 61320
74 2484 52730
74 2700 12760
74 3061 84020
74 3175 11550
74 3513 98230
74 3749 40070
74 3837 93240
74 4664 89730
74 5326 60390
74 6028 89720
74 6934 97390
74 6991 48720
74 7168 99320
74 7879 18920
74 7950 69050
74 8587 97440
74 9113 20430
75 76 84450
75 1083 4000
75 1506 47900
75 1625 3920
75 2193 11640
75 2475 17780
75 2582 15010
75 4397 22620
75 4457 27110
75 5096 41370
75 5435 78600
75 5561 40200
75 7803 77400
75 8374 87360
75 8446 59170
76 77 13540
76 146 77170
76 522 53300
76 850 4340
76 1757 590
76 2666 71820
76 2766 38770
76 2865 85540
76 3321 7730
76 3608 80230
76 3953 5770
76 4032 91240
76 4638 19430
